record_id,source_title,source_url_or_ref,author_name,source_language,source_type,published_at,trip_time_start,trip_time_end,trip_style,summary_zh,item_name_raw,item_name_zh,item_name_en,category,status_recommend,container_recommend,quantity_recommend,brand_raw,brand_normalized,reason_raw,source_quote_or_timecode,confidence_item,record_status,source_logo_url
AUTH-CDC_TRAVEL_HEALTH_KIT_CHECKLIST-001,Travel Health Kits,https://www.cdc.gov/yellow-book/hcp/preparing-international-travelers/travel-health-kits.html,Centers for Disease Control and Prevention (CDC),en,article,FETCH_FAILED_NOT_EXPLICIT_ON_PAGE,,,international-travel / health-prep / medical,CDC 旅行健康包权威建议，覆盖证件、药品、医疗用品与卫生物资。,Copies of passport and travel documents,,Copies of passport and travel documents,documents,to_pack,undecided,,,,author/source/published 强制提取；published_at 未在可访问页面稳定定位,scene_tag: travel-health-prep,3,draft,https://www.cdc.gov/favicon.ico
AUTH-CDC_TRAVEL_HEALTH_KIT_CHECKLIST-002,Travel Health Kits,https://www.cdc.gov/yellow-book/hcp/preparing-international-travelers/travel-health-kits.html,Centers for Disease Control and Prevention (CDC),en,article,FETCH_FAILED_NOT_EXPLICIT_ON_PAGE,,,international-travel / health-prep / medical,CDC 旅行健康包权威建议，覆盖证件、药品、医疗用品与卫生物资。,Immunization records,,Immunization records,documents,to_pack,undecided,,,,author/source/published 强制提取；published_at 未在可访问页面稳定定位,scene_tag: travel-health-prep,3,draft,https://www.cdc.gov/favicon.ico
AUTH-CDC_TRAVEL_HEALTH_KIT_CHECKLIST-003,Travel Health Kits,https://www.cdc.gov/yellow-book/hcp/preparing-international-travelers/travel-health-kits.html,Centers for Disease Control and Prevention (CDC),en,article,FETCH_FAILED_NOT_EXPLICIT_ON_PAGE,,,international-travel / health-prep / medical,CDC 旅行健康包权威建议，覆盖证件、药品、医疗用品与卫生物资。,Prescription medicines in original bottles,,Prescription medicines in original bottles,first_aid,to_pack,undecided,,,,author/source/published 强制提取；published_at 未在可访问页面稳定定位,scene_tag: travel-health-prep,3,draft,https://www.cdc.gov/favicon.ico
AUTH-CDC_TRAVEL_HEALTH_KIT_CHECKLIST-004,Travel Health Kits,https://www.cdc.gov/yellow-book/hcp/preparing-international-travelers/travel-health-kits.html,Centers for Disease Control and Prevention (CDC),en,article,FETCH_FAILED_NOT_EXPLICIT_ON_PAGE,,,international-travel / health-prep / medical,CDC 旅行健康包权威建议，覆盖证件、药品、医疗用品与卫生物资。,Antidiarrheal medicine,,Antidiarrheal medicine,first_aid,to_pack,undecided,,,,author/source/published 强制提取；published_at 未在可访问页面稳定定位,scene_tag: travel-health-prep,3,draft,https://www.cdc.gov/favicon.ico
AUTH-CDC_TRAVEL_HEALTH_KIT_CHECKLIST-005,Travel Health Kits,https://www.cdc.gov/yellow-book/hcp/preparing-international-travelers/travel-health-kits.html,Centers for Disease Control and Prevention (CDC),en,article,FETCH_FAILED_NOT_EXPLICIT_ON_PAGE,,,international-travel / health-prep / medical,CDC 旅行健康包权威建议，覆盖证件、药品、医疗用品与卫生物资。,Antihistamine/decongestant,,Antihistamine/decongestant,first_aid,to_pack,undecided,,,,author/source/published 强制提取；published_at 未在可访问页面稳定定位,scene_tag: travel-health-prep,3,draft,https://www.cdc.gov/favicon.ico
AUTH-CDC_TRAVEL_HEALTH_KIT_CHECKLIST-006,Travel Health Kits,https://www.cdc.gov/yellow-book/hcp/preparing-international-travelers/travel-health-kits.html,Centers for Disease Control and Prevention (CDC),en,article,FETCH_FAILED_NOT_EXPLICIT_ON_PAGE,,,international-travel / health-prep / medical,CDC 旅行健康包权威建议，覆盖证件、药品、医疗用品与卫生物资。,First-aid kit,,First-aid kit,first_aid,to_pack,undecided,,,,author/source/published 强制提取；published_at 未在可访问页面稳定定位,scene_tag: travel-health-prep,3,draft,https://www.cdc.gov/favicon.ico
AUTH-CDC_TRAVEL_HEALTH_KIT_CHECKLIST-007,Travel Health Kits,https://www.cdc.gov/yellow-book/hcp/preparing-international-travelers/travel-health-kits.html,Centers for Disease Control and Prevention (CDC),en,article,FETCH_FAILED_NOT_EXPLICIT_ON_PAGE,,,international-travel / health-prep / medical,CDC 旅行健康包权威建议，覆盖证件、药品、医疗用品与卫生物资。,Insect repellent (DEET/picaridin),,Insect repellent (DEET/picaridin),sun_protection,to_pack,undecided,,,,author/source/published 强制提取；published_at 未在可访问页面稳定定位,scene_tag: travel-health-prep,3,draft,https://www.cdc.gov/favicon.ico
AUTH-CDC_TRAVEL_HEALTH_KIT_CHECKLIST-008,Travel Health Kits,https://www.cdc.gov/yellow-book/hcp/preparing-international-travelers/travel-health-kits.html,Centers for Disease Control and Prevention (CDC),en,article,FETCH_FAILED_NOT_EXPLICIT_ON_PAGE,,,international-travel / health-prep / medical,CDC 旅行健康包权威建议，覆盖证件、药品、医疗用品与卫生物资。,Sunscreen SPF 15+,,Sunscreen SPF 15+,sun_protection,to_pack,undecided,,,,author/source/published 强制提取；published_at 未在可访问页面稳定定位,scene_tag: travel-health-prep,3,draft,https://www.cdc.gov/favicon.ico
AUTH-CDC_TRAVEL_HEALTH_KIT_CHECKLIST-009,Travel Health Kits,https://www.cdc.gov/yellow-book/hcp/preparing-international-travelers/travel-health-kits.html,Centers for Disease Control and Prevention (CDC),en,article,FETCH_FAILED_NOT_EXPLICIT_ON_PAGE,,,international-travel / health-prep / medical,CDC 旅行健康包权威建议，覆盖证件、药品、医疗用品与卫生物资。,Hand sanitizer (>=60% alcohol),,Hand sanitizer (>=60% alcohol),toiletries,to_pack,undecided,,,,author/source/published 强制提取；published_at 未在可访问页面稳定定位,scene_tag: travel-health-prep,3,draft,https://www.cdc.gov/favicon.ico
AUTH-CDC_TRAVEL_HEALTH_KIT_CHECKLIST-010,Travel Health Kits,https://www.cdc.gov/yellow-book/hcp/preparing-international-travelers/travel-health-kits.html,Centers for Disease Control and Prevention (CDC),en,article,FETCH_FAILED_NOT_EXPLICIT_ON_PAGE,,,international-travel / health-prep / medical,CDC 旅行健康包权威建议，覆盖证件、药品、医疗用品与卫生物资。,Water purification tablets/filter,,Water purification tablets/filter,hydration,to_pack,undecided,,,,author/source/published 强制提取；published_at 未在可访问页面稳定定位,scene_tag: travel-health-prep,3,draft,https://www.cdc.gov/favicon.ico
