record_id,source_title,source_url_or_ref,author_name,source_language,source_type,published_at,trip_time_start,trip_time_end,trip_style,summary_zh,item_name_raw,item_name_zh,item_name_en,category,status_recommend,container_recommend,quantity_recommend,brand_raw,brand_normalized,reason_raw,source_quote_or_timecode,confidence_item,record_status,source_logo_url
AUTH-NPS_TEN_ESSENTIALS_CHECKLIST-001,Ten Essentials,https://www.nps.gov/articles/10essentials.htm,U.S. National Park Service,en,article,FETCH_FAILED_NOT_EXPLICIT_ON_PAGE,,,hiking / outdoor-safety / ten-essentials,NPS 十大必备系统，适用于各类户外徒步与野外活动。,Navigation (map/compass/GPS),,Navigation (map/compass/GPS),navigation,to_pack,undecided,,,,author/source/published 强制提取；published_at 未在可访问页面稳定定位,scene_tag: ten-essentials-outdoor,3,draft,https://www.nps.gov/favicon.ico
AUTH-NPS_TEN_ESSENTIALS_CHECKLIST-002,Ten Essentials,https://www.nps.gov/articles/10essentials.htm,U.S. National Park Service,en,article,FETCH_FAILED_NOT_EXPLICIT_ON_PAGE,,,hiking / outdoor-safety / ten-essentials,NPS 十大必备系统，适用于各类户外徒步与野外活动。,Sun protection,,Sun protection,sun_protection,to_pack,undecided,,,,author/source/published 强制提取；published_at 未在可访问页面稳定定位,scene_tag: ten-essentials-outdoor,3,draft,https://www.nps.gov/favicon.ico
AUTH-NPS_TEN_ESSENTIALS_CHECKLIST-003,Ten Essentials,https://www.nps.gov/articles/10essentials.htm,U.S. National Park Service,en,article,FETCH_FAILED_NOT_EXPLICIT_ON_PAGE,,,hiking / outdoor-safety / ten-essentials,NPS 十大必备系统，适用于各类户外徒步与野外活动。,Insulation layers,,Insulation layers,clothing,to_pack,undecided,,,,author/source/published 强制提取；published_at 未在可访问页面稳定定位,scene_tag: ten-essentials-outdoor,3,draft,https://www.nps.gov/favicon.ico
AUTH-NPS_TEN_ESSENTIALS_CHECKLIST-004,Ten Essentials,https://www.nps.gov/articles/10essentials.htm,U.S. National Park Service,en,article,FETCH_FAILED_NOT_EXPLICIT_ON_PAGE,,,hiking / outdoor-safety / ten-essentials,NPS 十大必备系统，适用于各类户外徒步与野外活动。,Illumination (headlamp/flashlight),,Illumination (headlamp/flashlight),electronics,to_pack,undecided,,,,author/source/published 强制提取；published_at 未在可访问页面稳定定位,scene_tag: ten-essentials-outdoor,3,draft,https://www.nps.gov/favicon.ico
AUTH-NPS_TEN_ESSENTIALS_CHECKLIST-005,Ten Essentials,https://www.nps.gov/articles/10essentials.htm,U.S. National Park Service,en,article,FETCH_FAILED_NOT_EXPLICIT_ON_PAGE,,,hiking / outdoor-safety / ten-essentials,NPS 十大必备系统，适用于各类户外徒步与野外活动。,First-aid supplies,,First-aid supplies,first_aid,to_pack,undecided,,,,author/source/published 强制提取；published_at 未在可访问页面稳定定位,scene_tag: ten-essentials-outdoor,3,draft,https://www.nps.gov/favicon.ico
AUTH-NPS_TEN_ESSENTIALS_CHECKLIST-006,Ten Essentials,https://www.nps.gov/articles/10essentials.htm,U.S. National Park Service,en,article,FETCH_FAILED_NOT_EXPLICIT_ON_PAGE,,,hiking / outdoor-safety / ten-essentials,NPS 十大必备系统，适用于各类户外徒步与野外活动。,Fire starter/matches,,Fire starter/matches,safety,to_pack,undecided,,,,author/source/published 强制提取；published_at 未在可访问页面稳定定位,scene_tag: ten-essentials-outdoor,3,draft,https://www.nps.gov/favicon.ico
AUTH-NPS_TEN_ESSENTIALS_CHECKLIST-007,Ten Essentials,https://www.nps.gov/articles/10essentials.htm,U.S. National Park Service,en,article,FETCH_FAILED_NOT_EXPLICIT_ON_PAGE,,,hiking / outdoor-safety / ten-essentials,NPS 十大必备系统，适用于各类户外徒步与野外活动。,Repair kit and tools,,Repair kit and tools,tools,to_pack,undecided,,,,author/source/published 强制提取；published_at 未在可访问页面稳定定位,scene_tag: ten-essentials-outdoor,3,draft,https://www.nps.gov/favicon.ico
AUTH-NPS_TEN_ESSENTIALS_CHECKLIST-008,Ten Essentials,https://www.nps.gov/articles/10essentials.htm,U.S. National Park Service,en,article,FETCH_FAILED_NOT_EXPLICIT_ON_PAGE,,,hiking / outdoor-safety / ten-essentials,NPS 十大必备系统，适用于各类户外徒步与野外活动。,Extra nutrition,,Extra nutrition,nutrition,to_pack,undecided,,,,author/source/published 强制提取；published_at 未在可访问页面稳定定位,scene_tag: ten-essentials-outdoor,3,draft,https://www.nps.gov/favicon.ico
AUTH-NPS_TEN_ESSENTIALS_CHECKLIST-009,Ten Essentials,https://www.nps.gov/articles/10essentials.htm,U.S. National Park Service,en,article,FETCH_FAILED_NOT_EXPLICIT_ON_PAGE,,,hiking / outdoor-safety / ten-essentials,NPS 十大必备系统，适用于各类户外徒步与野外活动。,Hydration + treatment,,Hydration + treatment,hydration,to_pack,undecided,,,,author/source/published 强制提取；published_at 未在可访问页面稳定定位,scene_tag: ten-essentials-outdoor,3,draft,https://www.nps.gov/favicon.ico
AUTH-NPS_TEN_ESSENTIALS_CHECKLIST-010,Ten Essentials,https://www.nps.gov/articles/10essentials.htm,U.S. National Park Service,en,article,FETCH_FAILED_NOT_EXPLICIT_ON_PAGE,,,hiking / outdoor-safety / ten-essentials,NPS 十大必备系统，适用于各类户外徒步与野外活动。,Emergency shelter,,Emergency shelter,safety,to_pack,undecided,,,,author/source/published 强制提取；published_at 未在可访问页面稳定定位,scene_tag: ten-essentials-outdoor,3,draft,https://www.nps.gov/favicon.ico
