record_id,source_title,source_url_or_ref,author_name,source_language,source_type,published_at,trip_time_start,trip_time_end,trip_style,summary_zh,item_name_raw,item_name_zh,item_name_en,category,status_recommend,container_recommend,quantity_recommend,brand_raw,brand_normalized,reason_raw,source_quote_or_timecode,confidence_item,record_status
PKH-DN-001,Digital Nomad Packing List,https://www.packhacker.com/packing-list/digital-nomad/,Pack Hacker,en,article,,,,digital nomad / remote work / one bag,面向长期远程工作的环球出行清单，强调一包出行、可复用与跨场景切换。,DEAL,,DEAL,bags,to_pack,undecided,,DEAL,,"We've designed this list to fit in a 35L bag, but we have a few favorites if you're looking for a recommendation. The Aer Travel Pack 4 is great for organizing your gear. It's the latest iteration of the bag, and the pockets on this update have independent capacity. That means you can fill them with small items that don't always have a home, like hats, gloves, and a packable towel, without encroaching on other spaces. We love its well-cushioned harness system, which includes load lifters and a s",来源章节: Standalone Bags & Organizers | [See Review & Buying Options](https://www.packhacker.com/travel-gear/aer/travel-pack-4-35l/) | [lock Pro Members get up to 10% off Aer](https://www.packhacker.com/pro/),3,draft
PKH-DN-002,Digital Nomad Packing List,https://www.packhacker.com/packing-list/digital-nomad/,Pack Hacker,en,article,,,,digital nomad / remote work / one bag,面向长期远程工作的环球出行清单，强调一包出行、可复用与跨场景切换。,expand_more,,expand_more,bags,to_pack,undecided,,expand,,"We like pairing slings with travel packs because they allow quick access to daily essentials. The Bellroy Venture Ready Sling has a spot for all the everyday carry items on this list. Keep your passport in the back zipper pocket for extra security. Then, put your battery bank and the Peak Design Mobile Tripod behind the divider inside. Meanwhile, the front pocket is great for smaller accessories. It has a divider that keeps you organized, so you’re not fishing around for your AirPods and lip bal",来源章节: Standalone Bags & Organizers | [See Review & Buying Options](https://www.packhacker.com/travel-gear/bellroy/venture-ready-sling-2-5l/),3,draft
PKH-DN-003,Digital Nomad Packing List,https://www.packhacker.com/packing-list/digital-nomad/,Pack Hacker,en,article,,,,digital nomad / remote work / one bag,面向长期远程工作的环球出行清单，强调一包出行、可复用与跨场景切换。,Lo & Sons Bond,,Lo & Sons Bond,bags,to_pack,undecided,,Lo & Sons,,"We like pairing slings with travel packs because they allow quick access to daily essentials. The Lo & Sons Bond has a spot for all the everyday carry items on this list. Keep your most-used card in the back slip pocket and your passport and wallet in the zipper pocket for extra security. The organization in the main compartment includes more card slots, so you can always go without a separate wallet, plus a key leash and slip pockets for tiny gear. This sling is our personal item for air travel",来源章节: Standalone Bags & Organizers | [See Review & Buying Options](https://www.packhacker.com/travel-gear/lo-sons/bond/) | [$215.00 on Lo & Sons](https://losons.sjv.io/c/1259410/2994901/35960?u=https%3A%2F%2Fwww.loandsons.com%2Fproducts%2Fthe-bond-sheepskin-leather-ivory%3Fvariant%3D40469814280288&partnerpropertyid=1129153),3,draft
PKH-DN-004,Digital Nomad Packing List,https://www.packhacker.com/packing-list/digital-nomad/,Pack Hacker,en,article,,,,digital nomad / remote work / one bag,面向长期远程工作的环球出行清单，强调一包出行、可复用与跨场景切换。,TOM BIHN Ghost Whale Organizer Pouches (x3),,TOM BIHN Ghost Whale Organizer Pouches (x3),bags,to_pack,undecided,3,TOM BIHN Ghost,,"All the small gear on this list has to go somewhere, so we use TOM BIHN Ghost Whale Pouches to keep it organized. We’re bringing along three that we move between bags as-needed. The first has all of our tiny tech accessories that are easy to lose even in a tech pouch. The second is for small toiletries, like tweezers and nail clippers. Last up is first aid items, which we’ve taken from a pre-made kit and leave in our travel pack just in case. While these pouches come in a ton of sizes, we opt fo",来源章节: Standalone Bags & Organizers | [See Review & Buying Options](https://www.packhacker.com/travel-gear/tom-bihn/color-zipper-ghost-whale-organizer-pouches/) | [$12.00 on TOM BIHN](https://shareasale.com/r.cfm?b=1813180&u=1595555&m=113008&urllink=www%2Etombihn%2Ecom%2Fcollections%2Fall%2Dorganizational%2Dbags%2Fproducts%2Fghost%2Dwhale%2Dorganizer%2Dpouch%3Fvariant%3D40546278080701&afftrack=),3,draft
PKH-DN-005,Digital Nomad Packing List,https://www.packhacker.com/packing-list/digital-nomad/,Pack Hacker,en,article,,,,digital nomad / remote work / one bag,面向长期远程工作的环球出行清单，强调一包出行、可复用与跨场景切换。,Wool & Prince Boxer Briefs (x3),,Wool & Prince Boxer Briefs (x3),clothing,to_pack,undecided,3,Wool & Prince,,"The Wool and Prince Boxer Briefs are made with Merino wool, which means you can wear them a few times between washes. The wool material on these briefs has lasted longer with more wear than other brands we've tested, so we're sure of their durability. If you prefer all-black, like us, we recommend sewing different color threads into an inside seam. It'll help you track which underwear you've been wearing and which needs washing.",来源章节: Clothing & Accessories | [See Details & Buying Options](https://www.packhacker.com/travel-gear/wool-prince/boxer-briefs/) | [View on Wool & Prince](https://shareasale.com/r.cfm?b=1257355&u=1595555&m=83434&urllink=https%3A%2F%2Fwoolandprince%2Ecom%2Fcollections%2Fboxer%2Dbriefs&afftrack=),3,draft
PKH-DN-006,Digital Nomad Packing List,https://www.packhacker.com/packing-list/digital-nomad/,Pack Hacker,en,article,,,,digital nomad / remote work / one bag,面向长期远程工作的环球出行清单，强调一包出行、可复用与跨场景切换。,Outlier Ultrafine Merino T-Shirt,,Outlier Ultrafine Merino T-Shirt,clothing,to_pack,undecided,,Outlier Ultrafine Merino,,"Think of the Outlier Ultrafine Merino T-Shirt as your ultimate basic, whether you’re heading to a coworking space or spending the day wandering around a museum. Outlier changes their products all the time, but the Ultrafine has been a reliable staple year after year. We like the boxy shape of Cut 2, but there are other fits to choose from. We’re bringing two of these shirts so we have an extra in rotation.",来源章节: Clothing & Accessories | [See Review & Buying Options](https://www.packhacker.com/travel-gear/outlier/ultrafine-merino-t-shirt/),3,draft
PKH-DN-007,Digital Nomad Packing List,https://www.packhacker.com/packing-list/digital-nomad/,Pack Hacker,en,article,,,,digital nomad / remote work / one bag,面向长期远程工作的环球出行清单，强调一包出行、可复用与跨场景切换。,Outlier Dreamweight T-Shirt,,Outlier Dreamweight T-Shirt,clothing,to_pack,undecided,,Outlier Dreamweight T-Shirt,,"Outlier’s Dreamweight Merino T-Shirt is a soft shirt good for pretty much anything. It’s made with 75% 16.5 micron merino wool spun with 25% nylon staple fibers, which is just a fancy way of saying that this shirt is super lightweight and comfortable. Plus, it’s great in both hot and cold climates, so it adds layering versatility.",来源章节: Clothing & Accessories | [See Details & Buying Options](https://www.packhacker.com/travel-gear/outlier/dreamweight-t/),3,draft
PKH-DN-008,Digital Nomad Packing List,https://www.packhacker.com/packing-list/digital-nomad/,Pack Hacker,en,article,,,,digital nomad / remote work / one bag,面向长期远程工作的环球出行清单，强调一包出行、可复用与跨场景切换。,Wool & Prince Signature Polo,,Wool & Prince Signature Polo,clothing,to_pack,undecided,,Wool & Prince,,"The Wool & Prince Signature Polo is the ultimate workhorse, looking casual or dressy, depending on what you pair it with. Polos are the original ""business casual"" shirts, and we're happy to see them making a comeback since they're so adaptable. We love the combination of Merino wool and nylon for its antimicrobial properties, and this one isn't as shiny as other offerings from the brand, either, so we dig the aesthetics.",来源章节: Clothing & Accessories | [See Details & Buying Options](https://www.packhacker.com/travel-gear/wool-prince/signature-polo/) | [$94.00 on Wool & Prince](https://www.awin1.com/cread.php?awinmid=90509&awinaffid=461092&platform=dl&ued=https%3A%2F%2Fwoolandprince.com%2Fproducts%2Fpolo-washed-navy),3,draft
PKH-DN-009,Digital Nomad Packing List,https://www.packhacker.com/packing-list/digital-nomad/,Pack Hacker,en,article,,,,digital nomad / remote work / one bag,面向长期远程工作的环球出行清单，强调一包出行、可复用与跨场景切换。,Proof Airweave Performance Shirt,,Proof Airweave Performance Shirt,clothing,to_pack,undecided,,Proof Airweave Performance,,"The Proof Airweave Performance Shirt is perfect for casual days when you still want to look good. The button-up design can be layered with another tee for everyday use or worn solo for a bit more style. Its soft polyester is quick-drying and has a bit of stretch. Plus, the technical material is more wrinkle-resistant than your everyday button-up and has an antimicrobial finish to block odors, which is great for extended time on the road.",来源章节: Clothing & Accessories | [See Details & Buying Options](https://www.packhacker.com/travel-gear/proof/airweave-performance-shirt/),3,draft
PKH-DN-010,Digital Nomad Packing List,https://www.packhacker.com/packing-list/digital-nomad/,Pack Hacker,en,article,,,,digital nomad / remote work / one bag,面向长期远程工作的环球出行清单，强调一包出行、可复用与跨场景切换。,Wool & Prince Waffle Henley,,Wool & Prince Waffle Henley,clothing,to_pack,undecided,,Wool & Prince,,"The Waffle Henley from Wool & Prince is a great piece to pack when the temperatures dip. You can also use it for layering, but it's thick enough on its own and looks better solo than other options, so you can add warmth when you need it without overheating.",来源章节: Clothing & Accessories | [See Details & Buying Options](https://www.packhacker.com/travel-gear/wool-prince/waffle-henley/) | [$140.00 on Wool & Prince](https://www.awin1.com/cread.php?awinmid=90509&awinaffid=461092&platform=dl&ued=https%3A%2F%2Fwoolandprince.com%2Fproducts%2Fwaffle-henley-black%3Fsyclid%3D319e4851-e73b-442a-899d-0e450c4e6a01),3,draft
