record_id,source_title,source_url_or_ref,author_name,source_language,source_type,published_at,trip_time_start,trip_time_end,trip_style,summary_zh,item_name_raw,item_name_zh,item_name_en,category,status_recommend,container_recommend,quantity_recommend,brand_raw,brand_normalized,reason_raw,source_quote_or_timecode,confidence_item,record_status
PKH-SUS-001,Earth Friendly Sustainable Packing List,https://www.packhacker.com/packing-list/earth-friendly-sustainable-packing-list/,Pack Hacker,en,article,,,,sustainable / eco-friendly / one bag,强调环保材料、耐用性与公平生产标准的可持续旅行清单。,Cotopaxi Allpa 35L Travel Pack,,Cotopaxi Allpa 35L Travel Pack,bags,to_pack,undecided,,Cotopaxi Allpa 35L,,"Cotopaxi bags are produced in the Philippines in a factory committed to fair labor and environmentally-sound practices. Opt for the Del Dia colorway, and you’ll get a pack identical in form and function made with recycled nylon and leftover synthetic fabrics from other companies’ large production runs. This pack will handle anything you throw inside it and has mesh dividers and organizers to help you keep track of your gear. The materials aren’t very structured, so it can look slightly saggy if ",来源章节: Standalone Bags & Organizers | [See Review & Buying Options](https://www.packhacker.com/travel-gear/cotopaxi/allpa-35l-travel-pack/),3,draft
PKH-SUS-002,Earth Friendly Sustainable Packing List,https://www.packhacker.com/packing-list/earth-friendly-sustainable-packing-list/,Pack Hacker,en,article,,,,sustainable / eco-friendly / one bag,强调环保材料、耐用性与公平生产标准的可持续旅行清单。,Osprey Arcane Waist,,Osprey Arcane Waist,bags,to_pack,undecided,,Osprey Arcane Waist,,"A sling is essential on daily excursions around town, venturing across the airport, and for entertainment on the flight. The Osprey Arcane Waist has a comfortable fit, can handle your everyday carry gear, and is manufactured using bluesign® approved materials. It’s not the largest sling around; it won’t fit your large tablet or Nintendo Switch, but you can stow an ample arsenal of items inside. Plus, we dig the colorway options! Wear it as a sling or waist pack depending on your preference.",来源章节: Standalone Bags & Organizers | [See Review & Buying Options](https://www.packhacker.com/travel-gear/osprey/arcane-waist/) | [$55.00 on Osprey](https://osprey.pxf.io/jrLLxb) [$34.95 on Backcountry](https://backcountry.tnu8.net/zNoKg7) [$54.95 on Amazon](https://www.amazon.com/dp/B093RN65PP?tag=23ph-20&linkCode=ogi&th=1&psc=1) [$55.00 on REI](https://rei.pxf.io/c/1259410/1448521/17195?u=https%3A%2F%2Fwww.rei.com%2Fproduct%2F250210%2Fosprey-arcane-waist-pack&partnerpropertyid=1129153),3,draft
PKH-SUS-003,Earth Friendly Sustainable Packing List,https://www.packhacker.com/packing-list/earth-friendly-sustainable-packing-list/,Pack Hacker,en,article,,,,sustainable / eco-friendly / one bag,强调环保材料、耐用性与公平生产标准的可持续旅行清单。,REI Co-op Flash 18 Pack,,REI Co-op Flash 18 Pack,bags,to_pack,undecided,,REI Co-op Flash,,"Sometimes, a day trip doesn't necessitate your full travel pack but requires more than your sling can handle. Look no further than the REI Co-op Flash 18 Pack. Not only does it utilize bluesign® approved recycled nylon, but it lays flat and is small enough to fit inside your travel backpack. Plus, it has features you're used to using on a regular bag, like a daisy chain, sternum strap, and hip belt. It won't pack down as small as a packable daypack, but it'll fit in most packs, and we think the ",来源章节: Standalone Bags & Organizers | [See Details & Buying Options](https://www.packhacker.com/travel-gear/rei/co-op-flash-18-pack/),3,draft
PKH-SUS-004,Earth Friendly Sustainable Packing List,https://www.packhacker.com/packing-list/earth-friendly-sustainable-packing-list/,Pack Hacker,en,article,,,,sustainable / eco-friendly / one bag,强调环保材料、耐用性与公平生产标准的可持续旅行清单。,Chums Duckie Wallet,,Chums Duckie Wallet,bags,to_pack,undecided,,Chums Duckie Wallet,,"While traveling, you won’t need everything you typically carry in your wallet or purse. The Chums Duckie Wallet fits just what you need and is crafted from recycled textile materials from rafts. You can carry cash and cards inside, but you have to fold the money first. There’s no place for coins, but you can stow that in your sling, packable daypack, or travel backpack. This thing checks two sustainability marks off your list; it’s a [minimalist wallet](https://packhacker.com/blog/general/best-m",来源章节: Standalone Bags & Organizers | [See Review & Buying Options](https://www.packhacker.com/travel-gear/chums/duckie-wallet/),3,draft
PKH-SUS-005,Earth Friendly Sustainable Packing List,https://www.packhacker.com/packing-list/earth-friendly-sustainable-packing-list/,Pack Hacker,en,article,,,,sustainable / eco-friendly / one bag,强调环保材料、耐用性与公平生产标准的可持续旅行清单。,Thule Compression Cube (x2),,Thule Compression Cube (x2),clothing,to_pack,undecided,2,Thule Compression Cube,,"To stay organized, a set of packing cubes is a must. In addition to ensuring your gear is segmented and easy to find, some compression cubes will save space in your pack, giving you more room for other gear and souvenirs. The Thule Compression Packing Cubes use bluesign® approved 100-denier diamond ripstop nylon, which is sustainably sourced and durable. We wish there were a middle ground between the small and large cubes, but it works out fine because of how much gear we can fit in both.",来源章节: Clothing & Accessories | [See Review & Buying Options](https://www.packhacker.com/travel-gear/thule/compression-cube-set/),3,draft
PKH-SUS-006,Earth Friendly Sustainable Packing List,https://www.packhacker.com/packing-list/earth-friendly-sustainable-packing-list/,Pack Hacker,en,article,,,,sustainable / eco-friendly / one bag,强调环保材料、耐用性与公平生产标准的可持续旅行清单。,Cotopaxi Original Cubo Packing Cube Bundle (Del Dia),,Cotopaxi Original Cubo Packing Cube Bundle (Del Dia),clothing,to_pack,undecided,,Cotopaxi Original Cubo,,"Start the sustainable party when you get packing in these cubes from Cotopaxi. The brand’s Del Dia collection is made with repurposed nylon and mesh by employees who get full creative control over the colorway design, so no two are alike. You can feel good about filling these up since the material would have otherwise gone to waste, and even better when you arrive at your destination and your clothing is still in one organized space instead of a jumbled mess. You get three sizes in one set, thou",来源章节: Clothing & Accessories | [See Details & Buying Options](https://www.packhacker.com/travel-gear/cotopaxi/cubos-travel-cube-bundle-del-dia/) | [$45.00 on REI](https://rei.pxf.io/c/1259410/1448521/17195?u=https%3A%2F%2Fwww.rei.com%2Fproduct%2F236954%2Fcotopaxi-cubos-del-dia-packing-cubes-set-of-3) [$50.00 on Cotopaxi](https://cotopaxi.pxf.io/c/1259410/2168919/27792?u=https%3A%2F%2Fwww.cotopaxi.com%2Fproducts%2Fcubo-packing-travel-bundle-del-dia%3Fvariant%3D41256389771325&partnerpropertyid=1129153) [$34.97 on Amazon](https://www.amazon.com/dp/B08WDRFDQ3?tag=23ph-20&linkCode=ogi&th=1&psc=1) [$20.50 on Public Lands](https://public-lands.sjv.io/5govo2),3,draft
PKH-SUS-007,Earth Friendly Sustainable Packing List,https://www.packhacker.com/packing-list/earth-friendly-sustainable-packing-list/,Pack Hacker,en,article,,,,sustainable / eco-friendly / one bag,强调环保材料、耐用性与公平生产标准的可持续旅行清单。,REI Men’s Co-op Everyday Boxer Briefs (x4),,REI Men’s Co-op Everyday Boxer Briefs (x4),clothing,to_pack,undecided,4,REI Men,,"Sustainability might not seem like a high priority when it comes to underwear, but you wear them daily, so you might as well get something good for yourself and the environment. REI Co-op Everyday Boxer Briefs are a poly-spandex blend that utilizes bluesign® approved materials. They fold up small to save space and work for almost every activity under the sun. They can bunch up during a rigorous workout but remain comfortable overall.",来源章节: Clothing & Accessories | [See Details & Buying Options](https://www.packhacker.com/travel-gear/rei/mens-co-op-everyday-boxer-briefs/),3,draft
PKH-SUS-008,Earth Friendly Sustainable Packing List,https://www.packhacker.com/packing-list/earth-friendly-sustainable-packing-list/,Pack Hacker,en,article,,,,sustainable / eco-friendly / one bag,强调环保材料、耐用性与公平生产标准的可持续旅行清单。,Patagonia Women’s Active Briefs (x5),,Patagonia Women’s Active Briefs (x5),clothing,to_pack,undecided,5,Patagonia Women,,"You don’t have to sacrifice comfort and features to save the planet when you opt for this active underwear. They’re sewn in a Fair Trade Certified™ facility and include recycled polyester, so we think it’s a double win when it’s good for the environment and the workers. The spandex makes them stretchy, so they’re super comfortable for any activity, plus moisture-wicking to boot. We’re not sure why Patagonia includes such large tags on their underwear when they also print their brand name and siz",来源章节: Clothing & Accessories | [See Details & Buying Options](https://www.packhacker.com/travel-gear/patagonia/womens-active-briefs/) | [$24.00 on Public Lands](https://public-lands.sjv.io/Mmr04o),3,draft
PKH-SUS-009,Earth Friendly Sustainable Packing List,https://www.packhacker.com/packing-list/earth-friendly-sustainable-packing-list/,Pack Hacker,en,article,,,,sustainable / eco-friendly / one bag,强调环保材料、耐用性与公平生产标准的可持续旅行清单。,Patagonia Women’s Barely Bra (x2),,Patagonia Women’s Barely Bra (x2),clothing,to_pack,undecided,2,Patagonia Women,,"You can do more with less when you pack a bra in a neutral colorway like this one. It stays hidden under most tops and is comfortable enough to take you through whatever you have planned for the day. Nearly two-thirds of the materials are recycled (the nylon), and there’s also odor control to keep you feeling fresh. That’s why we’re only packing a couple for our trip, but you do you if you prefer to change it up more often. They pack down small, and you can grab it in a different style if racerb",来源章节: Clothing & Accessories | [See Details & Buying Options](https://www.packhacker.com/travel-gear/patagonia/womens-barely-bra/),3,draft
PKH-SUS-010,Earth Friendly Sustainable Packing List,https://www.packhacker.com/packing-list/earth-friendly-sustainable-packing-list/,Pack Hacker,en,article,,,,sustainable / eco-friendly / one bag,强调环保材料、耐用性与公平生产标准的可持续旅行清单。,REI Co-op COOLMAX EcoMade Everyday Low Socks (x5),,REI Co-op COOLMAX EcoMade Everyday Low Socks (x5),clothing,to_pack,undecided,5,REI Co-op COOLMAX,,"Most people wear socks daily, so a sustainable pack-out must include eco-friendly under-shoe wear. The REI Co-op COOLMAX EcoMade Everyday Low Socks are manufactured from recycled water bottles, which is more comfortable than it sounds. They work with many shoes but aren’t tall enough to work with boots. However, they’re a comfortable option for most pairs of shoes, and even sandals, if you’re into that kind of thing.",来源章节: Clothing & Accessories | [See Details & Buying Options](https://www.packhacker.com/travel-gear/rei/co-op-coolmax-ecomade-everyday-low-socks/),3,draft
