record_id,source_title,source_url_or_ref,author_name,source_language,source_type,published_at,trip_time_start,trip_time_end,trip_style,summary_zh,item_name_raw,item_name_zh,item_name_en,category,status_recommend,container_recommend,quantity_recommend,brand_raw,brand_normalized,reason_raw,source_quote_or_timecode,confidence_item,record_status,source_logo_url
REI_BACKCOUNTRY_SKI_SNOWBOARD_CHECKLIST-CDP-001,Backcountry Skiing/Snowboarding Checklist,https://www.rei.com/learn/expert-advice/backcountry-skiing-snowboarding-checklist.html,REI Co-op,en,article,,,,backcountry-ski / snowboarding / avalanche-terrain,REI 越野滑雪/单板清单，核心是雪崩地形安全配置。,Backcountry Skiing/Snowboarding Checklist,,Backcountry Skiing/Snowboarding Checklist,documents,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Backcountry Skiing,3,draft,https://www.rei.com/favicon.ico
REI_BACKCOUNTRY_SKI_SNOWBOARD_CHECKLIST-CDP-002,Backcountry Skiing/Snowboarding Checklist,https://www.rei.com/learn/expert-advice/backcountry-skiing-snowboarding-checklist.html,REI Co-op,en,article,,,,backcountry-ski / snowboarding / avalanche-terrain,REI 越野滑雪/单板清单，核心是雪崩地形安全配置。,"Skis, snowboard or splitboard",,"Skis, snowboard or splitboard",other,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Gear Choices,3,draft,https://www.rei.com/favicon.ico
REI_BACKCOUNTRY_SKI_SNOWBOARD_CHECKLIST-CDP-003,Backcountry Skiing/Snowboarding Checklist,https://www.rei.com/learn/expert-advice/backcountry-skiing-snowboarding-checklist.html,REI Co-op,en,article,,,,backcountry-ski / snowboarding / avalanche-terrain,REI 越野滑雪/单板清单，核心是雪崩地形安全配置。,"Ski wax, skin wax, waxing tools",,"Ski wax, skin wax, waxing tools",other,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Climbing skins,3,draft,https://www.rei.com/favicon.ico
REI_BACKCOUNTRY_SKI_SNOWBOARD_CHECKLIST-CDP-004,Backcountry Skiing/Snowboarding Checklist,https://www.rei.com/learn/expert-advice/backcountry-skiing-snowboarding-checklist.html,REI Co-op,en,article,,,,backcountry-ski / snowboarding / avalanche-terrain,REI 越野滑雪/单板清单，核心是雪崩地形安全配置。,Crampons/ski crampons,,Crampons/ski crampons,other,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Climbing skins,3,draft,https://www.rei.com/favicon.ico
REI_BACKCOUNTRY_SKI_SNOWBOARD_CHECKLIST-CDP-005,Backcountry Skiing/Snowboarding Checklist,https://www.rei.com/learn/expert-advice/backcountry-skiing-snowboarding-checklist.html,REI Co-op,en,article,,,,backcountry-ski / snowboarding / avalanche-terrain,REI 越野滑雪/单板清单，核心是雪崩地形安全配置。,Slope meter and snowpit analysis kit,,Slope meter and snowpit analysis kit,other,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Probe,3,draft,https://www.rei.com/favicon.ico
REI_BACKCOUNTRY_SKI_SNOWBOARD_CHECKLIST-CDP-006,Backcountry Skiing/Snowboarding Checklist,https://www.rei.com/learn/expert-advice/backcountry-skiing-snowboarding-checklist.html,REI Co-op,en,article,,,,backcountry-ski / snowboarding / avalanche-terrain,REI 越野滑雪/单板清单，核心是雪崩地形安全配置。,Avalung or avalanche airbag survival pack,,Avalung or avalanche airbag survival pack,bags,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Probe,3,draft,https://www.rei.com/favicon.ico
REI_BACKCOUNTRY_SKI_SNOWBOARD_CHECKLIST-CDP-007,Backcountry Skiing/Snowboarding Checklist,https://www.rei.com/learn/expert-advice/backcountry-skiing-snowboarding-checklist.html,REI Co-op,en,article,,,,backcountry-ski / snowboarding / avalanche-terrain,REI 越野滑雪/单板清单，核心是雪崩地形安全配置。,Multifunction watch (with altimeter),,Multifunction watch (with altimeter),electronics,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Probe,3,draft,https://www.rei.com/favicon.ico
REI_BACKCOUNTRY_SKI_SNOWBOARD_CHECKLIST-CDP-008,Backcountry Skiing/Snowboarding Checklist,https://www.rei.com/learn/expert-advice/backcountry-skiing-snowboarding-checklist.html,REI Co-op,en,article,,,,backcountry-ski / snowboarding / avalanche-terrain,REI 越野滑雪/单板清单，核心是雪崩地形安全配置。,Whistle/signaling mirror,,Whistle/signaling mirror,other,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Probe,3,draft,https://www.rei.com/favicon.ico
REI_BACKCOUNTRY_SKI_SNOWBOARD_CHECKLIST-CDP-009,Backcountry Skiing/Snowboarding Checklist,https://www.rei.com/learn/expert-advice/backcountry-skiing-snowboarding-checklist.html,REI Co-op,en,article,,,,backcountry-ski / snowboarding / avalanche-terrain,REI 越野滑雪/单板清单，核心是雪崩地形安全配置。,Ice axe/Whippet self-arresting ski pole,,Ice axe/Whippet self-arresting ski pole,other,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Probe,3,draft,https://www.rei.com/favicon.ico
REI_BACKCOUNTRY_SKI_SNOWBOARD_CHECKLIST-CDP-010,Backcountry Skiing/Snowboarding Checklist,https://www.rei.com/learn/expert-advice/backcountry-skiing-snowboarding-checklist.html,REI Co-op,en,article,,,,backcountry-ski / snowboarding / avalanche-terrain,REI 越野滑雪/单板清单，核心是雪崩地形安全配置。,Route description or guidebook,,Route description or guidebook,other,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Probe,3,draft,https://www.rei.com/favicon.ico
REI_BACKCOUNTRY_SKI_SNOWBOARD_CHECKLIST-CDP-011,Backcountry Skiing/Snowboarding Checklist,https://www.rei.com/learn/expert-advice/backcountry-skiing-snowboarding-checklist.html,REI Co-op,en,article,,,,backcountry-ski / snowboarding / avalanche-terrain,REI 越野滑雪/单板清单，核心是雪崩地形安全配置。,See our Mountaineering Checklist for other gear options.,,See our Mountaineering Checklist for other gear options.,other,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Probe,3,draft,https://www.rei.com/favicon.ico
REI_BACKCOUNTRY_SKI_SNOWBOARD_CHECKLIST-CDP-012,Backcountry Skiing/Snowboarding Checklist,https://www.rei.com/learn/expert-advice/backcountry-skiing-snowboarding-checklist.html,REI Co-op,en,article,,,,backcountry-ski / snowboarding / avalanche-terrain,REI 越野滑雪/单板清单，核心是雪崩地形安全配置。,1. Navigation,,1. Navigation,other,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,"For safety, survival and basic comfort",3,draft,https://www.rei.com/favicon.ico
REI_BACKCOUNTRY_SKI_SNOWBOARD_CHECKLIST-CDP-013,Backcountry Skiing/Snowboarding Checklist,https://www.rei.com/learn/expert-advice/backcountry-skiing-snowboarding-checklist.html,REI Co-op,en,article,,,,backcountry-ski / snowboarding / avalanche-terrain,REI 越野滑雪/单板清单，核心是雪崩地形安全配置。,Map (with protective case),,Map (with protective case),documents,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,"For safety, survival and basic comfort",3,draft,https://www.rei.com/favicon.ico
REI_BACKCOUNTRY_SKI_SNOWBOARD_CHECKLIST-CDP-014,Backcountry Skiing/Snowboarding Checklist,https://www.rei.com/learn/expert-advice/backcountry-skiing-snowboarding-checklist.html,REI Co-op,en,article,,,,backcountry-ski / snowboarding / avalanche-terrain,REI 越野滑雪/单板清单，核心是雪崩地形安全配置。,GPS (optional),,GPS (optional),electronics,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Compass,3,draft,https://www.rei.com/favicon.ico
REI_BACKCOUNTRY_SKI_SNOWBOARD_CHECKLIST-CDP-015,Backcountry Skiing/Snowboarding Checklist,https://www.rei.com/learn/expert-advice/backcountry-skiing-snowboarding-checklist.html,REI Co-op,en,article,,,,backcountry-ski / snowboarding / avalanche-terrain,REI 越野滑雪/单板清单，核心是雪崩地形安全配置。,2. Sun protection,,2. Sun protection,other,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Compass,3,draft,https://www.rei.com/favicon.ico
REI_BACKCOUNTRY_SKI_SNOWBOARD_CHECKLIST-CDP-016,Backcountry Skiing/Snowboarding Checklist,https://www.rei.com/learn/expert-advice/backcountry-skiing-snowboarding-checklist.html,REI Co-op,en,article,,,,backcountry-ski / snowboarding / avalanche-terrain,REI 越野滑雪/单板清单，核心是雪崩地形安全配置。,3. Insulation,,3. Insulation,other,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Sunglasses,3,draft,https://www.rei.com/favicon.ico
