record_id,source_title,source_url_or_ref,author_name,source_language,source_type,published_at,trip_time_start,trip_time_end,trip_style,summary_zh,item_name_raw,item_name_zh,item_name_en,category,status_recommend,container_recommend,quantity_recommend,brand_raw,brand_normalized,reason_raw,source_quote_or_timecode,confidence_item,record_status,source_logo_url
REI-REI_BACKCOUNTRY_SKI_SNOWBOARD_CHECKLIST-001,Backcountry Skiing/Snowboarding Checklist,https://www.rei.com/learn/expert-advice/backcountry-skiing-snowboarding-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,backcountry-ski / snowboarding / avalanche-terrain,REI 越野滑雪/单板清单，核心是雪崩地形安全配置。,Backcountry skis/splitboard,,Backcountry skis/splitboard,snowsports,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_BACKCOUNTRY_SKI_SNOWBOARD_CHECKLIST-002,Backcountry Skiing/Snowboarding Checklist,https://www.rei.com/learn/expert-advice/backcountry-skiing-snowboarding-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,backcountry-ski / snowboarding / avalanche-terrain,REI 越野滑雪/单板清单，核心是雪崩地形安全配置。,Skins,,Skins,snowsports,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_BACKCOUNTRY_SKI_SNOWBOARD_CHECKLIST-003,Backcountry Skiing/Snowboarding Checklist,https://www.rei.com/learn/expert-advice/backcountry-skiing-snowboarding-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,backcountry-ski / snowboarding / avalanche-terrain,REI 越野滑雪/单板清单，核心是雪崩地形安全配置。,Bindings + boots,,Bindings + boots,snowsports,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_BACKCOUNTRY_SKI_SNOWBOARD_CHECKLIST-004,Backcountry Skiing/Snowboarding Checklist,https://www.rei.com/learn/expert-advice/backcountry-skiing-snowboarding-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,backcountry-ski / snowboarding / avalanche-terrain,REI 越野滑雪/单板清单，核心是雪崩地形安全配置。,Avalanche beacon/transceiver,,Avalanche beacon/transceiver,avalanche_safety,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_BACKCOUNTRY_SKI_SNOWBOARD_CHECKLIST-005,Backcountry Skiing/Snowboarding Checklist,https://www.rei.com/learn/expert-advice/backcountry-skiing-snowboarding-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,backcountry-ski / snowboarding / avalanche-terrain,REI 越野滑雪/单板清单，核心是雪崩地形安全配置。,Probe,,Probe,avalanche_safety,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_BACKCOUNTRY_SKI_SNOWBOARD_CHECKLIST-006,Backcountry Skiing/Snowboarding Checklist,https://www.rei.com/learn/expert-advice/backcountry-skiing-snowboarding-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,backcountry-ski / snowboarding / avalanche-terrain,REI 越野滑雪/单板清单，核心是雪崩地形安全配置。,Shovel,,Shovel,avalanche_safety,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_BACKCOUNTRY_SKI_SNOWBOARD_CHECKLIST-007,Backcountry Skiing/Snowboarding Checklist,https://www.rei.com/learn/expert-advice/backcountry-skiing-snowboarding-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,backcountry-ski / snowboarding / avalanche-terrain,REI 越野滑雪/单板清单，核心是雪崩地形安全配置。,Helmet + goggles,,Helmet + goggles,snowsports,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_BACKCOUNTRY_SKI_SNOWBOARD_CHECKLIST-008,Backcountry Skiing/Snowboarding Checklist,https://www.rei.com/learn/expert-advice/backcountry-skiing-snowboarding-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,backcountry-ski / snowboarding / avalanche-terrain,REI 越野滑雪/单板清单，核心是雪崩地形安全配置。,Layering system,,Layering system,clothing,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_BACKCOUNTRY_SKI_SNOWBOARD_CHECKLIST-009,Backcountry Skiing/Snowboarding Checklist,https://www.rei.com/learn/expert-advice/backcountry-skiing-snowboarding-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,backcountry-ski / snowboarding / avalanche-terrain,REI 越野滑雪/单板清单，核心是雪崩地形安全配置。,Navigation tools,,Navigation tools,navigation,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_BACKCOUNTRY_SKI_SNOWBOARD_CHECKLIST-010,Backcountry Skiing/Snowboarding Checklist,https://www.rei.com/learn/expert-advice/backcountry-skiing-snowboarding-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,backcountry-ski / snowboarding / avalanche-terrain,REI 越野滑雪/单板清单，核心是雪崩地形安全配置。,Emergency bivy,,Emergency bivy,safety,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_BACKCOUNTRY_SKI_SNOWBOARD_CHECKLIST-011,Backcountry Skiing/Snowboarding Checklist,https://www.rei.com/learn/expert-advice/backcountry-skiing-snowboarding-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,backcountry-ski / snowboarding / avalanche-terrain,REI 越野滑雪/单板清单，核心是雪崩地形安全配置。,First-aid kit,,First-aid kit,first_aid,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_BACKCOUNTRY_SKI_SNOWBOARD_CHECKLIST-012,Backcountry Skiing/Snowboarding Checklist,https://www.rei.com/learn/expert-advice/backcountry-skiing-snowboarding-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,backcountry-ski / snowboarding / avalanche-terrain,REI 越野滑雪/单板清单，核心是雪崩地形安全配置。,Repair kit + multi-tool,,Repair kit + multi-tool,tools,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
