record_id,source_title,source_url_or_ref,author_name,source_language,source_type,published_at,trip_time_start,trip_time_end,trip_style,summary_zh,item_name_raw,item_name_zh,item_name_en,category,status_recommend,container_recommend,quantity_recommend,brand_raw,brand_normalized,reason_raw,source_quote_or_timecode,confidence_item,record_status,source_logo_url
REI_CAMP_KITCHEN_CHECKLIST-CDP-001,Camp Kitchen Checklist,https://www.rei.com/learn/expert-advice/camp-kitchen-checklist.html,REI Co-op,en,article,,,,camp-kitchen / car-camping / group-cook,REI 营地厨房专项清单，覆盖烹饪、储存、清洁。,Cooking and Prep,,Cooking and Prep,nutrition,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Recommended,3,draft,https://www.rei.com/favicon.ico
REI_CAMP_KITCHEN_CHECKLIST-CDP-002,Camp Kitchen Checklist,https://www.rei.com/learn/expert-advice/camp-kitchen-checklist.html,REI Co-op,en,article,,,,camp-kitchen / car-camping / group-cook,REI 营地厨房专项清单，覆盖烹饪、储存、清洁。,Camping stove and fuel,,Camping stove and fuel,nutrition,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Recommended,3,draft,https://www.rei.com/favicon.ico
REI_CAMP_KITCHEN_CHECKLIST-CDP-003,Camp Kitchen Checklist,https://www.rei.com/learn/expert-advice/camp-kitchen-checklist.html,REI Co-op,en,article,,,,camp-kitchen / car-camping / group-cook,REI 营地厨房专项清单，覆盖烹饪、储存、清洁。,Cook pot(s) and lid(s),,Cook pot(s) and lid(s),nutrition,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Recommended,3,draft,https://www.rei.com/favicon.ico
REI_CAMP_KITCHEN_CHECKLIST-CDP-004,Camp Kitchen Checklist,https://www.rei.com/learn/expert-advice/camp-kitchen-checklist.html,REI Co-op,en,article,,,,camp-kitchen / car-camping / group-cook,REI 营地厨房专项清单，覆盖烹饪、储存、清洁。,Frying pan(s),,Frying pan(s),other,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Recommended,3,draft,https://www.rei.com/favicon.ico
REI_CAMP_KITCHEN_CHECKLIST-CDP-005,Camp Kitchen Checklist,https://www.rei.com/learn/expert-advice/camp-kitchen-checklist.html,REI Co-op,en,article,,,,camp-kitchen / car-camping / group-cook,REI 营地厨房专项清单，覆盖烹饪、储存、清洁。,Pot holders and/or pot lifter,,Pot holders and/or pot lifter,other,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Recommended,3,draft,https://www.rei.com/favicon.ico
REI_CAMP_KITCHEN_CHECKLIST-CDP-006,Camp Kitchen Checklist,https://www.rei.com/learn/expert-advice/camp-kitchen-checklist.html,REI Co-op,en,article,,,,camp-kitchen / car-camping / group-cook,REI 营地厨房专项清单，覆盖烹饪、储存、清洁。,"Cooking utensils (large spoon, spatula, tongs, whisk)",,"Cooking utensils (large spoon, spatula, tongs, whisk)",nutrition,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Recommended,3,draft,https://www.rei.com/favicon.ico
REI_CAMP_KITCHEN_CHECKLIST-CDP-007,Camp Kitchen Checklist,https://www.rei.com/learn/expert-advice/camp-kitchen-checklist.html,REI Co-op,en,article,,,,camp-kitchen / car-camping / group-cook,REI 营地厨房专项清单，覆盖烹饪、储存、清洁。,"Bottle opener, can opener, corkscrew (or multi-tool)",,"Bottle opener, can opener, corkscrew (or multi-tool)",nutrition,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Recommended,3,draft,https://www.rei.com/favicon.ico
REI_CAMP_KITCHEN_CHECKLIST-CDP-008,Camp Kitchen Checklist,https://www.rei.com/learn/expert-advice/camp-kitchen-checklist.html,REI Co-op,en,article,,,,camp-kitchen / car-camping / group-cook,REI 营地厨房专项清单，覆盖烹饪、储存、清洁。,Camp grill and fuel,,Camp grill and fuel,nutrition,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Cutting board,3,draft,https://www.rei.com/favicon.ico
REI_CAMP_KITCHEN_CHECKLIST-CDP-009,Camp Kitchen Checklist,https://www.rei.com/learn/expert-advice/camp-kitchen-checklist.html,REI Co-op,en,article,,,,camp-kitchen / car-camping / group-cook,REI 营地厨房专项清单，覆盖烹饪、储存、清洁。,Dutch oven and lid lifter,,Dutch oven and lid lifter,other,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Griddle,3,draft,https://www.rei.com/favicon.ico
REI_CAMP_KITCHEN_CHECKLIST-CDP-010,Camp Kitchen Checklist,https://www.rei.com/learn/expert-advice/camp-kitchen-checklist.html,REI Co-op,en,article,,,,camp-kitchen / car-camping / group-cook,REI 营地厨房专项清单，覆盖烹饪、储存、清洁。,"Firewood, sourced near the campsite",,"Firewood, sourced near the campsite",camping,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Charcoal,3,draft,https://www.rei.com/favicon.ico
