record_id,source_title,source_url_or_ref,author_name,source_language,source_type,published_at,trip_time_start,trip_time_end,trip_style,summary_zh,item_name_raw,item_name_zh,item_name_en,category,status_recommend,container_recommend,quantity_recommend,brand_raw,brand_normalized,reason_raw,source_quote_or_timecode,confidence_item,record_status,source_logo_url
REI-REI_CAMP_KITCHEN_CHECKLIST-001,Camp Kitchen Checklist,https://www.rei.com/learn/expert-advice/camp-kitchen-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,camp-kitchen / car-camping / group-cook,REI 营地厨房专项清单，覆盖烹饪、储存、清洁。,Camp stove + fuel,,Camp stove + fuel,camp_kitchen,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_CAMP_KITCHEN_CHECKLIST-002,Camp Kitchen Checklist,https://www.rei.com/learn/expert-advice/camp-kitchen-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,camp-kitchen / car-camping / group-cook,REI 营地厨房专项清单，覆盖烹饪、储存、清洁。,Cook pots with lids,,Cook pots with lids,camp_kitchen,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_CAMP_KITCHEN_CHECKLIST-003,Camp Kitchen Checklist,https://www.rei.com/learn/expert-advice/camp-kitchen-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,camp-kitchen / car-camping / group-cook,REI 营地厨房专项清单，覆盖烹饪、储存、清洁。,Pot lifter/holders,,Pot lifter/holders,camp_kitchen,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_CAMP_KITCHEN_CHECKLIST-004,Camp Kitchen Checklist,https://www.rei.com/learn/expert-advice/camp-kitchen-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,camp-kitchen / car-camping / group-cook,REI 营地厨房专项清单，覆盖烹饪、储存、清洁。,Spatula/tongs/whisk/spoon,,Spatula/tongs/whisk/spoon,camp_kitchen,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_CAMP_KITCHEN_CHECKLIST-005,Camp Kitchen Checklist,https://www.rei.com/learn/expert-advice/camp-kitchen-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,camp-kitchen / car-camping / group-cook,REI 营地厨房专项清单，覆盖烹饪、储存、清洁。,Knife + cutting board,,Knife + cutting board,camp_kitchen,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_CAMP_KITCHEN_CHECKLIST-006,Camp Kitchen Checklist,https://www.rei.com/learn/expert-advice/camp-kitchen-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,camp-kitchen / car-camping / group-cook,REI 营地厨房专项清单，覆盖烹饪、储存、清洁。,Plates/bowls/mugs,,Plates/bowls/mugs,camp_kitchen,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_CAMP_KITCHEN_CHECKLIST-007,Camp Kitchen Checklist,https://www.rei.com/learn/expert-advice/camp-kitchen-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,camp-kitchen / car-camping / group-cook,REI 营地厨房专项清单，覆盖烹饪、储存、清洁。,Eating utensils,,Eating utensils,camp_kitchen,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_CAMP_KITCHEN_CHECKLIST-008,Camp Kitchen Checklist,https://www.rei.com/learn/expert-advice/camp-kitchen-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,camp-kitchen / car-camping / group-cook,REI 营地厨房专项清单，覆盖烹饪、储存、清洁。,Cooler + ice,,Cooler + ice,camp_kitchen,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_CAMP_KITCHEN_CHECKLIST-009,Camp Kitchen Checklist,https://www.rei.com/learn/expert-advice/camp-kitchen-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,camp-kitchen / car-camping / group-cook,REI 营地厨房专项清单，覆盖烹饪、储存、清洁。,Food storage containers,,Food storage containers,camp_kitchen,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_CAMP_KITCHEN_CHECKLIST-010,Camp Kitchen Checklist,https://www.rei.com/learn/expert-advice/camp-kitchen-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,camp-kitchen / car-camping / group-cook,REI 营地厨房专项清单，覆盖烹饪、储存、清洁。,Camp sink/wash bin,,Camp sink/wash bin,camp_kitchen,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_CAMP_KITCHEN_CHECKLIST-011,Camp Kitchen Checklist,https://www.rei.com/learn/expert-advice/camp-kitchen-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,camp-kitchen / car-camping / group-cook,REI 营地厨房专项清单，覆盖烹饪、储存、清洁。,Biodegradable soap + sponge,,Biodegradable soap + sponge,camp_kitchen,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_CAMP_KITCHEN_CHECKLIST-012,Camp Kitchen Checklist,https://www.rei.com/learn/expert-advice/camp-kitchen-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,camp-kitchen / car-camping / group-cook,REI 营地厨房专项清单，覆盖烹饪、储存、清洁。,Trash/recycling bags,,Trash/recycling bags,camp_kitchen,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
