record_id,source_title,source_url_or_ref,author_name,source_language,source_type,published_at,trip_time_start,trip_time_end,trip_style,summary_zh,item_name_raw,item_name_zh,item_name_en,category,status_recommend,container_recommend,quantity_recommend,brand_raw,brand_normalized,reason_raw,source_quote_or_timecode,confidence_item,record_status,source_logo_url
REI-REI_CANOE_MULTIDAY_TOURING_CHECKLIST-001,Canoe Trip Packing Checklist,https://www.rei.com/learn/expert-advice/canoe-multiday-touring-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,canoe / multiday / expedition,REI 独木舟多日巡航清单，强调多日补给与船上收纳。,Canoe,,Canoe,watersports,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_CANOE_MULTIDAY_TOURING_CHECKLIST-002,Canoe Trip Packing Checklist,https://www.rei.com/learn/expert-advice/canoe-multiday-touring-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,canoe / multiday / expedition,REI 独木舟多日巡航清单，强调多日补给与船上收纳。,Paddles (+ spare),,Paddles (+ spare),watersports,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_CANOE_MULTIDAY_TOURING_CHECKLIST-003,Canoe Trip Packing Checklist,https://www.rei.com/learn/expert-advice/canoe-multiday-touring-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,canoe / multiday / expedition,REI 独木舟多日巡航清单，强调多日补给与船上收纳。,PFD for each paddler,,PFD for each paddler,safety,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_CANOE_MULTIDAY_TOURING_CHECKLIST-004,Canoe Trip Packing Checklist,https://www.rei.com/learn/expert-advice/canoe-multiday-touring-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,canoe / multiday / expedition,REI 独木舟多日巡航清单，强调多日补给与船上收纳。,Dry bags,,Dry bags,watersports,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_CANOE_MULTIDAY_TOURING_CHECKLIST-005,Canoe Trip Packing Checklist,https://www.rei.com/learn/expert-advice/canoe-multiday-touring-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,canoe / multiday / expedition,REI 独木舟多日巡航清单，强调多日补给与船上收纳。,Throw line,,Throw line,safety,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_CANOE_MULTIDAY_TOURING_CHECKLIST-006,Canoe Trip Packing Checklist,https://www.rei.com/learn/expert-advice/canoe-multiday-touring-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,canoe / multiday / expedition,REI 独木舟多日巡航清单，强调多日补给与船上收纳。,Whistle/signaling,,Whistle/signaling,safety,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_CANOE_MULTIDAY_TOURING_CHECKLIST-007,Canoe Trip Packing Checklist,https://www.rei.com/learn/expert-advice/canoe-multiday-touring-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,canoe / multiday / expedition,REI 独木舟多日巡航清单，强调多日补给与船上收纳。,Navigation kit (map/compass/GPS),,Navigation kit (map/compass/GPS),navigation,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_CANOE_MULTIDAY_TOURING_CHECKLIST-008,Canoe Trip Packing Checklist,https://www.rei.com/learn/expert-advice/canoe-multiday-touring-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,canoe / multiday / expedition,REI 独木舟多日巡航清单，强调多日补给与船上收纳。,Water treatment,,Water treatment,hydration,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_CANOE_MULTIDAY_TOURING_CHECKLIST-009,Canoe Trip Packing Checklist,https://www.rei.com/learn/expert-advice/canoe-multiday-touring-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,canoe / multiday / expedition,REI 独木舟多日巡航清单，强调多日补给与船上收纳。,Camp kitchen + food storage,,Camp kitchen + food storage,camp_kitchen,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_CANOE_MULTIDAY_TOURING_CHECKLIST-010,Canoe Trip Packing Checklist,https://www.rei.com/learn/expert-advice/canoe-multiday-touring-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,canoe / multiday / expedition,REI 独木舟多日巡航清单，强调多日补给与船上收纳。,Multiday shelter/sleep kit,,Multiday shelter/sleep kit,sleep,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
