record_id,source_title,source_url_or_ref,author_name,source_language,source_type,published_at,trip_time_start,trip_time_end,trip_style,summary_zh,item_name_raw,item_name_zh,item_name_en,category,status_recommend,container_recommend,quantity_recommend,brand_raw,brand_normalized,reason_raw,source_quote_or_timecode,confidence_item,record_status,source_logo_url
REI_FIRST_AID_CHECKLIST-CDP-001,First Aid Kit Checklist,https://www.rei.com/learn/expert-advice/first-aid-checklist.html,REI Co-op,en,article,,,,first-aid / all-outdoor / risk-based,REI 户外急救包清单，包含基础护理、包扎与工具。,Antiseptic wipes (BZK-based wipes preferred; alcohol-based OK),,Antiseptic wipes (BZK-based wipes preferred; alcohol-based OK),other,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,First-Aid Basic Care,3,draft,https://www.rei.com/favicon.ico
REI_FIRST_AID_CHECKLIST-CDP-002,First Aid Kit Checklist,https://www.rei.com/learn/expert-advice/first-aid-checklist.html,REI Co-op,en,article,,,,first-aid / all-outdoor / risk-based,REI 户外急救包清单，包含基础护理、包扎与工具。,"Antibacterial ointment (e.g., bacitracin)",,"Antibacterial ointment (e.g., bacitracin)",other,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,First-Aid Basic Care,3,draft,https://www.rei.com/favicon.ico
REI_FIRST_AID_CHECKLIST-CDP-003,First Aid Kit Checklist,https://www.rei.com/learn/expert-advice/first-aid-checklist.html,REI Co-op,en,article,,,,first-aid / all-outdoor / risk-based,REI 户外急救包清单，包含基础护理、包扎与工具。,Compound tincture of benzoin (bandage adhesive),,Compound tincture of benzoin (bandage adhesive),other,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,First-Aid Basic Care,3,draft,https://www.rei.com/favicon.ico
REI_FIRST_AID_CHECKLIST-CDP-004,First Aid Kit Checklist,https://www.rei.com/learn/expert-advice/first-aid-checklist.html,REI Co-op,en,article,,,,first-aid / all-outdoor / risk-based,REI 户外急救包清单，包含基础护理、包扎与工具。,Assorted adhesive bandages (fabric preferred),,Assorted adhesive bandages (fabric preferred),other,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,First-Aid Basic Care,3,draft,https://www.rei.com/favicon.ico
REI_FIRST_AID_CHECKLIST-CDP-005,First Aid Kit Checklist,https://www.rei.com/learn/expert-advice/first-aid-checklist.html,REI Co-op,en,article,,,,first-aid / all-outdoor / risk-based,REI 户外急救包清单，包含基础护理、包扎与工具。,Butterfly bandages / adhesive wound-closure strips,,Butterfly bandages / adhesive wound-closure strips,other,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,First-Aid Basic Care,3,draft,https://www.rei.com/favicon.ico
REI_FIRST_AID_CHECKLIST-CDP-006,First Aid Kit Checklist,https://www.rei.com/learn/expert-advice/first-aid-checklist.html,REI Co-op,en,article,,,,first-aid / all-outdoor / risk-based,REI 户外急救包清单，包含基础护理、包扎与工具。,Gauze pads (various sizes),,Gauze pads (various sizes),camping,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,First-Aid Basic Care,3,draft,https://www.rei.com/favicon.ico
REI_FIRST_AID_CHECKLIST-CDP-007,First Aid Kit Checklist,https://www.rei.com/learn/expert-advice/first-aid-checklist.html,REI Co-op,en,article,,,,first-aid / all-outdoor / risk-based,REI 户外急救包清单，包含基础护理、包扎与工具。,"Medical adhesive tape (10 yd. roll, min. 1"" width)",,"Medical adhesive tape (10 yd. roll, min. 1"" width)",first_aid,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Nonstick sterile pads,3,draft,https://www.rei.com/favicon.ico
REI_FIRST_AID_CHECKLIST-CDP-008,First Aid Kit Checklist,https://www.rei.com/learn/expert-advice/first-aid-checklist.html,REI Co-op,en,article,,,,first-aid / all-outdoor / risk-based,REI 户外急救包清单，包含基础护理、包扎与工具。,Ibuprofen / other pain-relief medication,,Ibuprofen / other pain-relief medication,other,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Blister treatment,3,draft,https://www.rei.com/favicon.ico
REI_FIRST_AID_CHECKLIST-CDP-009,First Aid Kit Checklist,https://www.rei.com/learn/expert-advice/first-aid-checklist.html,REI Co-op,en,article,,,,first-aid / all-outdoor / risk-based,REI 户外急救包清单，包含基础护理、包扎与工具。,Insect sting / anti-itch treatment,,Insect sting / anti-itch treatment,other,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Blister treatment,3,draft,https://www.rei.com/favicon.ico
REI_FIRST_AID_CHECKLIST-CDP-010,First Aid Kit Checklist,https://www.rei.com/learn/expert-advice/first-aid-checklist.html,REI Co-op,en,article,,,,first-aid / all-outdoor / risk-based,REI 户外急救包清单，包含基础护理、包扎与工具。,Antihistamine to treat allergic reactions,,Antihistamine to treat allergic reactions,other,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Blister treatment,3,draft,https://www.rei.com/favicon.ico
REI_FIRST_AID_CHECKLIST-CDP-011,First Aid Kit Checklist,https://www.rei.com/learn/expert-advice/first-aid-checklist.html,REI Co-op,en,article,,,,first-aid / all-outdoor / risk-based,REI 户外急救包清单，包含基础护理、包扎与工具。,Splinter (fine-point) tweezers,,Splinter (fine-point) tweezers,other,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Blister treatment,3,draft,https://www.rei.com/favicon.ico
REI_FIRST_AID_CHECKLIST-CDP-012,First Aid Kit Checklist,https://www.rei.com/learn/expert-advice/first-aid-checklist.html,REI Co-op,en,article,,,,first-aid / all-outdoor / risk-based,REI 户外急救包清单，包含基础护理、包扎与工具。,First-aid manual or information cards,,First-aid manual or information cards,first_aid,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Safety pins,3,draft,https://www.rei.com/favicon.ico
REI_FIRST_AID_CHECKLIST-CDP-013,First Aid Kit Checklist,https://www.rei.com/learn/expert-advice/first-aid-checklist.html,REI Co-op,en,article,,,,first-aid / all-outdoor / risk-based,REI 户外急救包清单，包含基础护理、包扎与工具。,"Wraps, Splints and Wound Coverings",,"Wraps, Splints and Wound Coverings",other,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Safety pins,3,draft,https://www.rei.com/favicon.ico
REI_FIRST_AID_CHECKLIST-CDP-014,First Aid Kit Checklist,https://www.rei.com/learn/expert-advice/first-aid-checklist.html,REI Co-op,en,article,,,,first-aid / all-outdoor / risk-based,REI 户外急救包清单，包含基础护理、包扎与工具。,Finger splint(s),,Finger splint(s),other,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Triangular cravat bandage,3,draft,https://www.rei.com/favicon.ico
REI_FIRST_AID_CHECKLIST-CDP-015,First Aid Kit Checklist,https://www.rei.com/learn/expert-advice/first-aid-checklist.html,REI Co-op,en,article,,,,first-aid / all-outdoor / risk-based,REI 户外急救包清单，包含基础护理、包扎与工具。,SAM splint(s),,SAM splint(s),other,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Triangular cravat bandage,3,draft,https://www.rei.com/favicon.ico
REI_FIRST_AID_CHECKLIST-CDP-016,First Aid Kit Checklist,https://www.rei.com/learn/expert-advice/first-aid-checklist.html,REI Co-op,en,article,,,,first-aid / all-outdoor / risk-based,REI 户外急救包清单，包含基础护理、包扎与工具。,"Rolled, stretch-to-conform bandages",,"Rolled, stretch-to-conform bandages",other,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Rolled gauze,3,draft,https://www.rei.com/favicon.ico
REI_FIRST_AID_CHECKLIST-CDP-017,First Aid Kit Checklist,https://www.rei.com/learn/expert-advice/first-aid-checklist.html,REI Co-op,en,article,,,,first-aid / all-outdoor / risk-based,REI 户外急救包清单，包含基础护理、包扎与工具。,First-aid cleansing pads with topical anesthetic,,First-aid cleansing pads with topical anesthetic,first_aid,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Hydrogel-based pads,3,draft,https://www.rei.com/favicon.ico
REI_FIRST_AID_CHECKLIST-CDP-018,First Aid Kit Checklist,https://www.rei.com/learn/expert-advice/first-aid-checklist.html,REI Co-op,en,article,,,,first-aid / all-outdoor / risk-based,REI 户外急救包清单，包含基础护理、包扎与工具。,Hemostatic (blood-stopping) gauze,,Hemostatic (blood-stopping) gauze,other,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Hydrogel-based pads,3,draft,https://www.rei.com/favicon.ico
REI_FIRST_AID_CHECKLIST-CDP-019,First Aid Kit Checklist,https://www.rei.com/learn/expert-advice/first-aid-checklist.html,REI Co-op,en,article,,,,first-aid / all-outdoor / risk-based,REI 户外急救包清单，包含基础护理、包扎与工具。,Additional Medications/Treatments,,Additional Medications/Treatments,other,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Liquid bandage,3,draft,https://www.rei.com/favicon.ico
REI_FIRST_AID_CHECKLIST-CDP-020,First Aid Kit Checklist,https://www.rei.com/learn/expert-advice/first-aid-checklist.html,REI Co-op,en,article,,,,first-aid / all-outdoor / risk-based,REI 户外急救包清单，包含基础护理、包扎与工具。,"Prescription medications (e.g., antibiotics)",,"Prescription medications (e.g., antibiotics)",first_aid,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Liquid bandage,3,draft,https://www.rei.com/favicon.ico
REI_FIRST_AID_CHECKLIST-CDP-021,First Aid Kit Checklist,https://www.rei.com/learn/expert-advice/first-aid-checklist.html,REI Co-op,en,article,,,,first-aid / all-outdoor / risk-based,REI 户外急救包清单，包含基础护理、包扎与工具。,Sunburn relief gel or spray,,Sunburn relief gel or spray,other,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Liquid bandage,3,draft,https://www.rei.com/favicon.ico
REI_FIRST_AID_CHECKLIST-CDP-022,First Aid Kit Checklist,https://www.rei.com/learn/expert-advice/first-aid-checklist.html,REI Co-op,en,article,,,,first-aid / all-outdoor / risk-based,REI 户外急救包清单，包含基础护理、包扎与工具。,Glucose or other sugar (to treat hypoglycemia),,Glucose or other sugar (to treat hypoglycemia),other,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Oral rehydration salts,3,draft,https://www.rei.com/favicon.ico
REI_FIRST_AID_CHECKLIST-CDP-023,First Aid Kit Checklist,https://www.rei.com/learn/expert-advice/first-aid-checklist.html,REI Co-op,en,article,,,,first-aid / all-outdoor / risk-based,REI 户外急救包清单，包含基础护理、包扎与工具。,Injectable epinephrine (for severe allergic reactions),,Injectable epinephrine (for severe allergic reactions),other,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Oral rehydration salts,3,draft,https://www.rei.com/favicon.ico
REI_FIRST_AID_CHECKLIST-CDP-024,First Aid Kit Checklist,https://www.rei.com/learn/expert-advice/first-aid-checklist.html,REI Co-op,en,article,,,,first-aid / all-outdoor / risk-based,REI 户外急救包清单，包含基础护理、包扎与工具。,Aspirin (primarily for response to a heart attack),,Aspirin (primarily for response to a heart attack),other,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Oral rehydration salts,3,draft,https://www.rei.com/favicon.ico
REI_FIRST_AID_CHECKLIST-CDP-025,First Aid Kit Checklist,https://www.rei.com/learn/expert-advice/first-aid-checklist.html,REI Co-op,en,article,,,,first-aid / all-outdoor / risk-based,REI 户外急救包清单，包含基础护理、包扎与工具。,Tools and Supplies,,Tools and Supplies,other,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Oral rehydration salts,3,draft,https://www.rei.com/favicon.ico
REI_FIRST_AID_CHECKLIST-CDP-026,First Aid Kit Checklist,https://www.rei.com/learn/expert-advice/first-aid-checklist.html,REI Co-op,en,article,,,,first-aid / all-outdoor / risk-based,REI 户外急救包清单，包含基础护理、包扎与工具。,Knife (or multi-tool with knife),,Knife (or multi-tool with knife),other,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Oral rehydration salts,3,draft,https://www.rei.com/favicon.ico
REI_FIRST_AID_CHECKLIST-CDP-027,First Aid Kit Checklist,https://www.rei.com/learn/expert-advice/first-aid-checklist.html,REI Co-op,en,article,,,,first-aid / all-outdoor / risk-based,REI 户外急救包清单，包含基础护理、包扎与工具。,Paramedic shears (blunt-tip scissors),,Paramedic shears (blunt-tip scissors),other,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Oral rehydration salts,3,draft,https://www.rei.com/favicon.ico
REI_FIRST_AID_CHECKLIST-CDP-028,First Aid Kit Checklist,https://www.rei.com/learn/expert-advice/first-aid-checklist.html,REI Co-op,en,article,,,,first-aid / all-outdoor / risk-based,REI 户外急救包清单，包含基础护理、包扎与工具。,Safety razor blade (or scalpel w/ #15 or #12 blade),,Safety razor blade (or scalpel w/ #15 or #12 blade),other,to_pack,undecided,1,,,CDP 提取自 REI 条目清单，建议按行程场景做二次筛选。,Oral rehydration salts,3,draft,https://www.rei.com/favicon.ico
