record_id,source_title,source_url_or_ref,author_name,source_language,source_type,published_at,trip_time_start,trip_time_end,trip_style,summary_zh,item_name_raw,item_name_zh,item_name_en,category,status_recommend,container_recommend,quantity_recommend,brand_raw,brand_normalized,reason_raw,source_quote_or_timecode,confidence_item,record_status,source_logo_url
REI-REI_FIRST_AID_CHECKLIST-001,First Aid Kit Checklist,https://www.rei.com/learn/expert-advice/first-aid-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,first-aid / all-outdoor / risk-based,REI 户外急救包清单，包含基础护理、包扎与工具。,Antiseptic wipes,,Antiseptic wipes,first_aid,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_FIRST_AID_CHECKLIST-002,First Aid Kit Checklist,https://www.rei.com/learn/expert-advice/first-aid-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,first-aid / all-outdoor / risk-based,REI 户外急救包清单，包含基础护理、包扎与工具。,Antibacterial ointment,,Antibacterial ointment,first_aid,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_FIRST_AID_CHECKLIST-003,First Aid Kit Checklist,https://www.rei.com/learn/expert-advice/first-aid-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,first-aid / all-outdoor / risk-based,REI 户外急救包清单，包含基础护理、包扎与工具。,Adhesive bandages,,Adhesive bandages,first_aid,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_FIRST_AID_CHECKLIST-004,First Aid Kit Checklist,https://www.rei.com/learn/expert-advice/first-aid-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,first-aid / all-outdoor / risk-based,REI 户外急救包清单，包含基础护理、包扎与工具。,Gauze pads + tape,,Gauze pads + tape,first_aid,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_FIRST_AID_CHECKLIST-005,First Aid Kit Checklist,https://www.rei.com/learn/expert-advice/first-aid-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,first-aid / all-outdoor / risk-based,REI 户外急救包清单，包含基础护理、包扎与工具。,Blister treatment,,Blister treatment,first_aid,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_FIRST_AID_CHECKLIST-006,First Aid Kit Checklist,https://www.rei.com/learn/expert-advice/first-aid-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,first-aid / all-outdoor / risk-based,REI 户外急救包清单，包含基础护理、包扎与工具。,Pain reliever,,Pain reliever,first_aid,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_FIRST_AID_CHECKLIST-007,First Aid Kit Checklist,https://www.rei.com/learn/expert-advice/first-aid-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,first-aid / all-outdoor / risk-based,REI 户外急救包清单，包含基础护理、包扎与工具。,Antihistamine,,Antihistamine,first_aid,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_FIRST_AID_CHECKLIST-008,First Aid Kit Checklist,https://www.rei.com/learn/expert-advice/first-aid-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,first-aid / all-outdoor / risk-based,REI 户外急救包清单，包含基础护理、包扎与工具。,Elastic wrap / triangular bandage,,Elastic wrap / triangular bandage,first_aid,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_FIRST_AID_CHECKLIST-009,First Aid Kit Checklist,https://www.rei.com/learn/expert-advice/first-aid-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,first-aid / all-outdoor / risk-based,REI 户外急救包清单，包含基础护理、包扎与工具。,Splint (finger/SAM),,Splint (finger/SAM),first_aid,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_FIRST_AID_CHECKLIST-010,First Aid Kit Checklist,https://www.rei.com/learn/expert-advice/first-aid-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,first-aid / all-outdoor / risk-based,REI 户外急救包清单，包含基础护理、包扎与工具。,Medical gloves + CPR mask,,Medical gloves + CPR mask,first_aid,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_FIRST_AID_CHECKLIST-011,First Aid Kit Checklist,https://www.rei.com/learn/expert-advice/first-aid-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,first-aid / all-outdoor / risk-based,REI 户外急救包清单，包含基础护理、包扎与工具。,Tweezers + shears,,Tweezers + shears,first_aid,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_FIRST_AID_CHECKLIST-012,First Aid Kit Checklist,https://www.rei.com/learn/expert-advice/first-aid-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,first-aid / all-outdoor / risk-based,REI 户外急救包清单，包含基础护理、包扎与工具。,Thermometer + irrigation syringe,,Thermometer + irrigation syringe,first_aid,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
