record_id,source_title,source_url_or_ref,author_name,source_language,source_type,published_at,trip_time_start,trip_time_end,trip_style,summary_zh,item_name_raw,item_name_zh,item_name_en,category,status_recommend,container_recommend,quantity_recommend,brand_raw,brand_normalized,reason_raw,source_quote_or_timecode,confidence_item,record_status,source_logo_url
REI-REI_KAYAK_DAY_TOURING_CHECKLIST-001,Kayaking Checklist: What to Bring Kayaking,https://www.rei.com/learn/expert-advice/kayak-day-touring-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,kayak / day-touring / flatwater,REI 皮划艇日间巡航清单，覆盖基础艇装与扩展安全装备。,Kayak,,Kayak,watersports,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_KAYAK_DAY_TOURING_CHECKLIST-002,Kayaking Checklist: What to Bring Kayaking,https://www.rei.com/learn/expert-advice/kayak-day-touring-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,kayak / day-touring / flatwater,REI 皮划艇日间巡航清单，覆盖基础艇装与扩展安全装备。,Paddle (+ spare),,Paddle (+ spare),watersports,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_KAYAK_DAY_TOURING_CHECKLIST-003,Kayaking Checklist: What to Bring Kayaking,https://www.rei.com/learn/expert-advice/kayak-day-touring-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,kayak / day-touring / flatwater,REI 皮划艇日间巡航清单，覆盖基础艇装与扩展安全装备。,PFD,,PFD,safety,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_KAYAK_DAY_TOURING_CHECKLIST-004,Kayaking Checklist: What to Bring Kayaking,https://www.rei.com/learn/expert-advice/kayak-day-touring-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,kayak / day-touring / flatwater,REI 皮划艇日间巡航清单，覆盖基础艇装与扩展安全装备。,Bilge pump,,Bilge pump,watersports,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_KAYAK_DAY_TOURING_CHECKLIST-005,Kayaking Checklist: What to Bring Kayaking,https://www.rei.com/learn/expert-advice/kayak-day-touring-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,kayak / day-touring / flatwater,REI 皮划艇日间巡航清单，覆盖基础艇装与扩展安全装备。,Spray skirt,,Spray skirt,watersports,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_KAYAK_DAY_TOURING_CHECKLIST-006,Kayaking Checklist: What to Bring Kayaking,https://www.rei.com/learn/expert-advice/kayak-day-touring-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,kayak / day-touring / flatwater,REI 皮划艇日间巡航清单，覆盖基础艇装与扩展安全装备。,Dry bag,,Dry bag,watersports,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_KAYAK_DAY_TOURING_CHECKLIST-007,Kayaking Checklist: What to Bring Kayaking,https://www.rei.com/learn/expert-advice/kayak-day-touring-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,kayak / day-touring / flatwater,REI 皮划艇日间巡航清单，覆盖基础艇装与扩展安全装备。,Whistle,,Whistle,safety,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_KAYAK_DAY_TOURING_CHECKLIST-008,Kayaking Checklist: What to Bring Kayaking,https://www.rei.com/learn/expert-advice/kayak-day-touring-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,kayak / day-touring / flatwater,REI 皮划艇日间巡航清单，覆盖基础艇装与扩展安全装备。,Paddle float,,Paddle float,watersports,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_KAYAK_DAY_TOURING_CHECKLIST-009,Kayaking Checklist: What to Bring Kayaking,https://www.rei.com/learn/expert-advice/kayak-day-touring-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,kayak / day-touring / flatwater,REI 皮划艇日间巡航清单，覆盖基础艇装与扩展安全装备。,Towline,,Towline,safety,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_KAYAK_DAY_TOURING_CHECKLIST-010,Kayaking Checklist: What to Bring Kayaking,https://www.rei.com/learn/expert-advice/kayak-day-touring-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,kayak / day-touring / flatwater,REI 皮划艇日间巡航清单，覆盖基础艇装与扩展安全装备。,Map/chart in waterproof case,,Map/chart in waterproof case,navigation,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
