record_id,source_title,source_url_or_ref,author_name,source_language,source_type,published_at,trip_time_start,trip_time_end,trip_style,summary_zh,item_name_raw,item_name_zh,item_name_en,category,status_recommend,container_recommend,quantity_recommend,brand_raw,brand_normalized,reason_raw,source_quote_or_timecode,confidence_item,record_status,source_logo_url
REI-REI_SNOWSHOE_CHECKLIST-001,Snowshoe Day-Hiking Checklist,https://www.rei.com/learn/expert-advice/snowshoe-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,snowshoe / winter-dayhike / backcountry,REI 雪鞋日徒步清单，强调寒冷环境分层穿着与补给。,Snowshoes,,Snowshoes,snowsports,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_SNOWSHOE_CHECKLIST-002,Snowshoe Day-Hiking Checklist,https://www.rei.com/learn/expert-advice/snowshoe-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,snowshoe / winter-dayhike / backcountry,REI 雪鞋日徒步清单，强调寒冷环境分层穿着与补给。,Snowshoe-compatible boots,,Snowshoe-compatible boots,footwear,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_SNOWSHOE_CHECKLIST-003,Snowshoe Day-Hiking Checklist,https://www.rei.com/learn/expert-advice/snowshoe-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,snowshoe / winter-dayhike / backcountry,REI 雪鞋日徒步清单，强调寒冷环境分层穿着与补给。,Trekking poles with snow baskets,,Trekking poles with snow baskets,snowsports,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_SNOWSHOE_CHECKLIST-004,Snowshoe Day-Hiking Checklist,https://www.rei.com/learn/expert-advice/snowshoe-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,snowshoe / winter-dayhike / backcountry,REI 雪鞋日徒步清单，强调寒冷环境分层穿着与补给。,Daypack,,Daypack,bags,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_SNOWSHOE_CHECKLIST-005,Snowshoe Day-Hiking Checklist,https://www.rei.com/learn/expert-advice/snowshoe-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,snowshoe / winter-dayhike / backcountry,REI 雪鞋日徒步清单，强调寒冷环境分层穿着与补给。,Insulating base/mid layers,,Insulating base/mid layers,clothing,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_SNOWSHOE_CHECKLIST-006,Snowshoe Day-Hiking Checklist,https://www.rei.com/learn/expert-advice/snowshoe-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,snowshoe / winter-dayhike / backcountry,REI 雪鞋日徒步清单，强调寒冷环境分层穿着与补给。,Waterproof shell jacket/pants,,Waterproof shell jacket/pants,clothing,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_SNOWSHOE_CHECKLIST-007,Snowshoe Day-Hiking Checklist,https://www.rei.com/learn/expert-advice/snowshoe-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,snowshoe / winter-dayhike / backcountry,REI 雪鞋日徒步清单，强调寒冷环境分层穿着与补给。,Gloves + warm hat + neck gaiter,,Gloves + warm hat + neck gaiter,clothing,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_SNOWSHOE_CHECKLIST-008,Snowshoe Day-Hiking Checklist,https://www.rei.com/learn/expert-advice/snowshoe-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,snowshoe / winter-dayhike / backcountry,REI 雪鞋日徒步清单，强调寒冷环境分层穿着与补给。,Energy snacks/lunch,,Energy snacks/lunch,nutrition,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_SNOWSHOE_CHECKLIST-009,Snowshoe Day-Hiking Checklist,https://www.rei.com/learn/expert-advice/snowshoe-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,snowshoe / winter-dayhike / backcountry,REI 雪鞋日徒步清单，强调寒冷环境分层穿着与补给。,2L+ water (insulated storage),,2L+ water (insulated storage),hydration,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_SNOWSHOE_CHECKLIST-010,Snowshoe Day-Hiking Checklist,https://www.rei.com/learn/expert-advice/snowshoe-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,snowshoe / winter-dayhike / backcountry,REI 雪鞋日徒步清单，强调寒冷环境分层穿着与补给。,Navigation kit,,Navigation kit,navigation,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_SNOWSHOE_CHECKLIST-011,Snowshoe Day-Hiking Checklist,https://www.rei.com/learn/expert-advice/snowshoe-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,snowshoe / winter-dayhike / backcountry,REI 雪鞋日徒步清单，强调寒冷环境分层穿着与补给。,Emergency/repair kit,,Emergency/repair kit,safety,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
