record_id,source_title,source_url_or_ref,author_name,source_language,source_type,published_at,trip_time_start,trip_time_end,trip_style,summary_zh,item_name_raw,item_name_zh,item_name_en,category,status_recommend,container_recommend,quantity_recommend,brand_raw,brand_normalized,reason_raw,source_quote_or_timecode,confidence_item,record_status,source_logo_url
REI-REI_SUP_CHECKLIST-001,Paddle Boarding Checklist: What to Bring,https://www.rei.com/learn/expert-advice/stand-up-paddleboarding-sup-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,sup / flatwater / day-tour,REI 立式桨板清单，重点是水上安全与保暖策略。,Stand up paddle board,,Stand up paddle board,watersports,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_SUP_CHECKLIST-002,Paddle Boarding Checklist: What to Bring,https://www.rei.com/learn/expert-advice/stand-up-paddleboarding-sup-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,sup / flatwater / day-tour,REI 立式桨板清单，重点是水上安全与保暖策略。,SUP paddle,,SUP paddle,watersports,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_SUP_CHECKLIST-003,Paddle Boarding Checklist: What to Bring,https://www.rei.com/learn/expert-advice/stand-up-paddleboarding-sup-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,sup / flatwater / day-tour,REI 立式桨板清单，重点是水上安全与保暖策略。,Personal flotation device (PFD),,Personal flotation device (PFD),safety,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_SUP_CHECKLIST-004,Paddle Boarding Checklist: What to Bring,https://www.rei.com/learn/expert-advice/stand-up-paddleboarding-sup-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,sup / flatwater / day-tour,REI 立式桨板清单，重点是水上安全与保暖策略。,Pump (inflatable SUP),,Pump (inflatable SUP),watersports,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_SUP_CHECKLIST-005,Paddle Boarding Checklist: What to Bring,https://www.rei.com/learn/expert-advice/stand-up-paddleboarding-sup-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,sup / flatwater / day-tour,REI 立式桨板清单，重点是水上安全与保暖策略。,Fin(s),,Fin(s),watersports,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_SUP_CHECKLIST-006,Paddle Boarding Checklist: What to Bring,https://www.rei.com/learn/expert-advice/stand-up-paddleboarding-sup-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,sup / flatwater / day-tour,REI 立式桨板清单，重点是水上安全与保暖策略。,SUP leash,,SUP leash,watersports,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_SUP_CHECKLIST-007,Paddle Boarding Checklist: What to Bring,https://www.rei.com/learn/expert-advice/stand-up-paddleboarding-sup-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,sup / flatwater / day-tour,REI 立式桨板清单，重点是水上安全与保暖策略。,Rescue whistle,,Rescue whistle,safety,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_SUP_CHECKLIST-008,Paddle Boarding Checklist: What to Bring,https://www.rei.com/learn/expert-advice/stand-up-paddleboarding-sup-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,sup / flatwater / day-tour,REI 立式桨板清单，重点是水上安全与保暖策略。,Headlamp/flashlight,,Headlamp/flashlight,electronics,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_SUP_CHECKLIST-009,Paddle Boarding Checklist: What to Bring,https://www.rei.com/learn/expert-advice/stand-up-paddleboarding-sup-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,sup / flatwater / day-tour,REI 立式桨板清单，重点是水上安全与保暖策略。,Quick-dry clothing,,Quick-dry clothing,clothing,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
REI-REI_SUP_CHECKLIST-010,Paddle Boarding Checklist: What to Bring,https://www.rei.com/learn/expert-advice/stand-up-paddleboarding-sup-checklist.html,FETCH_FAILED_REI_BLOCKED,en,article,FETCH_FAILED_REI_BLOCKED,,,sup / flatwater / day-tour,REI 立式桨板清单，重点是水上安全与保暖策略。,Cold-water insulation layer,,Cold-water insulation layer,clothing,to_pack,undecided,,,,来源为 REI 文章/可访问摘要提取; meta_extraction=failed_rei_blocked,cover_or_visual: unavailable (REI anti-bot blocked direct extraction),2,draft,https://www.rei.com/favicon.ico
